SARS004_mock_3	SARS004_mock_2	SARS004_mock_1	SARS004_CoV2_3	SARS004_CoV2_2	SARS004_CoV2_1	CoV002_mock3_indexG3	CoV002_mock2_indexG2	CoV002_mock1_indexG1	CoV002_CoV2_3_indexG6	CoV002_CoV2_2_indexG5	CoV002_CoV2_1_indexG4	svRNA184_mock_3_indexF3	svRNA184_mock_1_indexF1	svRNA184_RSV_3_indexH9	svRNA184_RSV_1_indexF4	X3_9_mock1_13	X3_9_mock2_14	X3_9_wt1_15	X3_9_wt2_16
ENSG00000008226	3	2	1	2	4	9	9	4	3	10	8	4	15	8	13	3	3	0	1	0
ENSG00000008256	574	525	855	566	492	1404	1921	1192	867	2294	2030	1682	546	518	153	83	366	635	684	142
ENSG00000008277	3	1	0	1	0	0	70	41	31	100	77	63	83	114	17	16	28	68	84	14
ENSG00000008282	1374	1195	2068	847	1081	3122	1833	987	600	2890	1766	1291	700	729	150	95	380	872	1329	262
ENSG00000008283	371	384	468	324	293	846	799	530	380	1083	969	739	771	690	180	122	165	262	132	53
ENSG00000008294	1178	1052	2086	1130	1134	3229	4088	2143	1795	5114	3699	2757	921	1188	306	158	736	1489	1807	318
ENSG00000008300	27	33	44	34	28	98	825	448	336	895	774	647	1083	854	334	248	262	378	139	67
ENSG00000008311	234	254	412	216	255	595	8	7	4	7	9	4	23	20	4	1	1	2	4	0
ENSG00000008323	70	84	87	91	68	167	122	47	41	82	69	58	38	33	8	6	17	33	10	12
ENSG00000008324	57	49	107	54	46	164	232	134	88	373	222	175	251	301	60	52	33	61	82	10
ENSG00000008382	40	39	72	55	24	106	183	90	72	213	176	141	421	236	95	69	31	45	26	5
ENSG00000008394	3525	3350	5845	2361	2969	8964	8475	4456	2927	13255	7964	6218	16084	15226	5176	1998	1593	3872	6664	989
ENSG00000008405	90	74	149	96	93	280	546	321	231	784	602	504	149	130	44	27	123	185	239	42
ENSG00000008438	0	0	0	1	0	0	15	5	5	6	5	11	19	12	3	5	0	0	0	0
ENSG00000008441	785	811	1180	636	543	1661	150	78	62	190	176	144	264	219	94	54	33	77	27	9
ENSG00000008513	774	778	1288	697	773	2282	676	408	330	853	777	558	798	625	350	219	82	117	169	59
ENSG00000008516	26	27	19	26	22	94	64	26	24	50	44	40	126	88	31	22	7	12	3	2
ENSG00000008517	488	411	574	851	919	2590	338	226	151	530	503	364	758	504	259	199	12	31	47	14
ENSG00000008710	325	387	410	404	200	737	2295	1232	952	2174	2131	1586	2489	1834	905	458	338	579	201	90
ENSG00000008735	27	14	18	21	14	50	179	97	85	195	193	152	67	83	43	44	31	59	17	5
ENSG00000008838	683	659	980	726	629	2063	1895	1130	799	2067	1980	1575	1527	1090	387	289	356	715	545	225
ENSG00000008853	1647	1438	2024	1684	1464	4298	1450	874	683	1417	1385	1029	815	575	175	124	200	336	127	61
ENSG00000008869	575	570	923	439	530	1501	916	460	360	1082	802	597	543	445	276	112	177	398	501	90
ENSG00000008952	2984	2530	3923	2234	2742	7179	2215	1074	881	3652	2373	1680	3579	3351	1130	766	484	1217	1939	300
ENSG00000008988	7687	6276	10223	6664	6158	18009	15032	8480	6487	21399	17102	11127	30266	22300	13180	5951	3411	7728	15732	2127
ENSG00000009307	9757	8369	14749	7846	8400	24691	6446	3207	2535	9648	6640	4903	3518	3431	1066	698	1343	2849	4308	785
ENSG00000009335	2035	1688	3076	1705	1787	5461	3024	1739	1292	3813	2936	2443	1668	1419	441	359	552	976	925	274
ENSG00000009413	185	193	401	134	160	400	422	177	168	512	335	226	126	158	33	21	118	241	332	50
ENSG00000009694	3	2	1	1	0	1	0	1	0	1	2	1	0	2	0	0	1	0	0	0
ENSG00000009709	1	0	0	0	0	0	87	57	36	114	95	76	185	178	52	41	66	132	75	20
ENSG00000009724	1	0	1	0	0	3	15	7	6	29	23	16	55	59	22	7	2	9	12	6
ENSG00000009765	11	14	19	5	1	20	1	0	0	3	1	3	3	2	0	0	0	1	0	0
ENSG00000009780	134	117	227	92	106	294	144	82	58	208	157	126	109	103	41	17	23	76	78	20
ENSG00000009790	5	3	1	2	2	15	32	8	11	32	26	13	8	5	1	2	5	6	8	1
ENSG00000009830	331	305	450	308	313	993	1507	797	643	1451	1386	1042	1000	830	302	229	276	464	294	134
ENSG00000009844	630	569	1122	494	525	1652	875	447	281	1546	951	638	330	413	105	62	185	414	523	118
ENSG00000009950	1	4	5	3	0	6	75	41	32	129	110	79	1270	855	350	248	7	27	10	3
